Source City,DestinationCity,Fare
Delhi_Bus,Jaipur_Bus,500
Delhi_Train,Jaipur_Train,400
Delhi_Bus,Udaipur_Bus,880
Delhi_Train,Udaipur_Train,1000
Delhi_Bus,Ahmedabad_Bus,1200
Delhi_Train,Ahmedabad_Train,1350
Delhi_Bus,Mumbai_Bus,1900
Delhi_Train,Mumbai_Train,2100
Jaipur_Bus,Udaipur_Bus,480
Jaipur_Train,Udaipur_Train,500
Jaipur_Bus,Ahmedabad_Bus,950
Jaipur_Train,Ahmedabad_Train,1050
Jaipur_Bus,Mumbai_Bus,1700
Jaipur_Train,Mumbai_Train,1850
Udaipur_Bus,Ahmedabad_Bus,400
Udaipur_Train,Ahmedabad_Train,380
Udaipur_Bus,Mumbai_Bus,1100
Udaipur_Train,Mumbai_Train,1250
Ahmedabad_Bus,Surat_Bus,350
Ahmedabad_Train,Surat_Train,320
Ahmedabad_Bus,Mumbai_Bus,700
Ahmedabad_Train,Mumbai_Train,750
Surat_Bus,Mumbai_Bus,400
Surat_Train,Mumbai_Train,300
Vadodara_Train,Ahmedabad_Train,200
Vadodara_Bus,Ahmedabad_Bus,250
Vadodara_Bus,Mumbai_Bus,600
Vadodara_Train,Mumbai_Train,650
Delhi_Bus,Delhi_Train,1
Jaipur_Bus,Jaipur_Train,1
Udaipur_Bus,Udaipur_Train,1
Ahmedabad_Bus,Ahmedabad_Train,1
Surat_Bus,Surat_Train,1
Vadodara_Bus,Vadodara_Train,1
Mumbai_Bus,Mumbai_Train,1
Delhi_Train,Delhi_Bus,1
Jaipur_Train,Jaipur_Bus,1
Udaipur_Train,Udaipur_Bus,1
Ahmedabad_Train,Ahmedabad_Bus,1
Surat_Train,Surat_Bus,1
Vadodara_Train,Vadodara_Bus,1
Mumbai_Train,Mumbai_Bus,1
